Cleaned_Tweets,Retweets,Likes,Date
"Btw, how’s it going in Bakhmut?",751,15340,10/20/2022 21:20
Pretty good troll tbh,1347,39191,10/20/2022 21:12
*humour,125,4777,10/20/2022 21:07
I couldn’t agree more ,100,2418,10/20/2022 20:37
British humor is the best,1981,58475,10/20/2022 20:36
Compromise is overwhelmingly the most likely outcome – just a question of how much death &amp; destruction happens before then,383,4643,10/20/2022 17:42
That should be the nature of the debate,71,1395,10/20/2022 17:39
"Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely damages Russia, with massive body count on both sides.And, in the end, the same outcome. So why?",265,3209,10/20/2022 17:32
Exactly,1104,26370,10/20/2022 16:43
Congrats to  team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,5308,75918,10/20/2022 16:31
Same,287,6627,10/20/2022 9:26
Exactly,79,1963,10/20/2022 7:57
"SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",1465,16597,10/20/2022 7:30
"The media reports with great fanfare my predictions that are late, but rarely those that come early",1569,23663,10/20/2022 6:52
Accelerating sustainable energy is our primary mission,1458,18526,10/20/2022 0:10
"Will require truly exceptional execution, but it is possible",745,11060,10/19/2022 22:33
"I will not let you down, no matter what it takes",35111,392237,10/19/2022 18:46
Awesome,88,2381,10/19/2022 18:13
"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it worked perfectly with no lag!",2060,37029,10/19/2022 17:02
Vox Populi Vox Dei,5709,53880,10/19/2022 16:59
"Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",470,7090,10/19/2022 13:45
Sounds fair,215,5357,10/19/2022 4:38
Definitely giving me kid naming ideas ,1364,43868,10/19/2022 3:59
And … sold out!,1745,57905,10/19/2022 3:58
Internet in airplanes will feel same as if you were accessing Internet at home!,8082,98109,10/19/2022 3:37
"28,700 bottles of exquisite Burnt Hair perfume already sold! Only 1,300 left of this unique, limited edition, collector’s item.",3324,46000,10/19/2022 1:42
We’re working on it. Hope to release something next week.,183,2900,10/19/2022 0:07
"No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",2801,33352,10/19/2022 0:06
Smart? Maybe. Does dumb stuff? Definitely!,589,12432,10/18/2022 20:27
TRUE,102,2671,10/18/2022 19:11
Exactly,64,1531,10/18/2022 15:12
"Should I make weapons? Ideally, not.",205,3868,10/18/2022 15:07
An easy prediction,160,4861,10/18/2022 15:03
Drone War I,5267,55658,10/18/2022 14:35
(Actually) Smart Summon is almost done,785,15877,10/18/2022 6:11
Yes,571,12232,10/18/2022 2:19
I have a plan,2331,64821,10/18/2022 1:52
Thanks Optimus :),708,18697,10/18/2022 0:27
"To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",743,9328,10/17/2022 19:57
SpaceX has already withdrawn its request for funding,3214,57357,10/17/2022 19:52
"Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",895,8736,10/17/2022 14:03
Probably not,91,2294,10/17/2022 13:48
Practice makes perfect …,2727,45837,10/17/2022 13:47
"Russia has been punched in the nose and forced to retreat many times by Ukraine. But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",243,3448,10/17/2022 13:46
"Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. If they say 0%, they are utterly dangerous fools.",380,4944,10/17/2022 13:41
"But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",1003,11703,10/17/2022 13:30
"If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",1197,9845,10/17/2022 13:25
"Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. Crimea is also of critical national security importance to Russia, as it is their southern navy base.From their standpoint losing Crimea is like USA losing Hawaii &amp; Pearl Harbor.",2523,15883,10/17/2022 13:17
Exactly,156,3728,10/17/2022 12:53
"If Russia is faced with the choice of losing Crimea or using battlefield nukes, they will choose the latter.We’ve already sanctioned/cutoff Russia in every possible way, so what more do they have left to lose? If we nuke Russia back, they will nuke us and then we have WW3.",3111,19765,10/17/2022 12:46
Exceptionally well-said,9275,59111,10/17/2022 12:32
"Standard (non-performance) 3 &amp; Y suspension in production now has improved comfort, without affecting handling",211,2536,10/17/2022 12:14
"Yeah, RV version is lower priority than standard version. You should still see high speeds during off hours. Is that happening?As we add more satellites &amp; upgrade satellite technology, speeds in high user density locations should see significant increases.",84,1693,10/17/2022 11:52
"Ok, we will add a donate option to Starlink",4098,74035,10/17/2022 7:01
"That’s oddly low. Normally, much higher.",54,2312,10/17/2022 7:00
Are there others that want to donate Starlinks to places in need?,5432,63326,10/17/2022 6:55
Ok,589,22075,10/17/2022 5:54
 that’s happened to me many times,68,1697,10/17/2022 5:52
A much quieter leaf blower is possible,99,1986,10/17/2022 5:47
"This is harder than it sounds, but ok",298,6975,10/16/2022 21:55
Deus X Machina,4193,67241,10/16/2022 21:51
"We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",691,10708,10/16/2022 20:26
Game over when (not if) Earth gets hit by an object of that size,3382,69101,10/16/2022 15:39
Ramen &gt;&gt; Lambos,190,3102,10/16/2022 15:01
Used a lot in rocketry,366,6928,10/16/2022 14:59
So true,22035,238913,10/16/2022 14:26
Every millipede has its millennia,493,13334,10/16/2022 14:17
We should bring back their outfits,494,15528,10/16/2022 14:14
Good thread,276,6712,10/16/2022 14:10
Fancy a game of meme tennis?,2825,44742,10/16/2022 5:17
Buy Burnt Hair from a company that digs holes!,1628,34196,10/16/2022 5:13
I read this as goth clowns lonely,138,3738,10/16/2022 5:02
Did you hear about the dyslexic KBG agent – it’s pot secret!,5101,94715,10/16/2022 4:51
"Venn diagram intersection of those two audiences is pretty small, I guess",556,14724,10/16/2022 4:46
Not as popular as I’d hoped (sigh),619,16678,10/16/2022 4:44
Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.“Das Baby” – Hijinks on the high seas!,1975,31397,10/16/2022 3:41
"Just a scratch, we can buff it out",184,4065,10/16/2022 3:35
Mostly accurate,87,2152,10/16/2022 3:31
The comments in this thread are a conspiracy theorist’s wet dream,2358,63060,10/16/2022 3:24
Yup,289,7734,10/16/2022 0:26
7 years ago,378,11383,10/15/2022 23:43
Definitely one of the strangest meetings I’ve ever experienced.  was there too.,354,8637,10/15/2022 20:18
I’m trying my hardest to de-escalate this situation and obviously failing,1845,23649,10/15/2022 20:15
"Damned if you do, damned if you don’t, so … guess I’m just damned",1027,18706,10/15/2022 19:52
"Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",208,3736,10/15/2022 19:48
The hilarious thing is you’re not wrong ,446,8447,10/15/2022 19:35
So it goes …,257,13719,10/15/2022 19:31
Fate loves irony,731,28635,10/15/2022 18:18
"Even so, we should still do good deeds",2220,66093,10/15/2022 18:14
"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",39422,515651,10/15/2022 18:06
"That dude is not just a “condition of anonymity” spineless coward, he’s also an ignorant fool. Starlink was directly requested by the Ukraine government, as it was the only thing that worked.",661,7719,10/15/2022 17:43
"It has required a lot of our resources. Going into super lockdown mode slows down new development progress, as we have to resist attacks from a sophisticated adversary actively at war.",246,3226,10/15/2022 17:17
"DoD provided about 3% of the Falcon 1 development cost. Appreciated, certainly, but should be seen in context.",224,3323,10/15/2022 17:08
Of course. And their signal jamming systems are also getting better.,227,3243,10/15/2022 16:56
"The amount SpaceX is requesting for a major battlefield advantage is less than the cost of one new GPS satellite. Ironically, GPS doesn’t work on battlefields, as the signal is easy to jam, but Starlink does.",1540,20168,10/15/2022 16:37
"Would be great if someday humanity stopped pointing nukes at itself that would destroy almost all life on Earth.In any given year, there is a chance above zero that they will be launched. We are now at the highest risk in 60 years.",817,5474,10/15/2022 16:33
"Curses, foiled again!",766,27389,10/15/2022 6:36
Accurate,765,17508,10/15/2022 4:58
"Russia has the ability to destroy USA &amp; Europe utterly with nuclear missiles in less than 30 minutes &amp; vice versa.A surprising number of people don’t know this.Of course, it would be MAD to use them, but it is also MAD to be in this situation at all.",5650,26663,10/15/2022 1:33
This has potential,297,7694,10/15/2022 1:20
"Internet fiber, phone lines, cell towers &amp; other space-based comms in war areas have been destroyed. Starlink is all that’s left. For now.",380,3792,10/15/2022 1:19
Thank you for clarifying this ,1671,50531,10/15/2022 0:52
"Starlink is the primary communications system of the Ukrainian army on the war front. If anyone else wants this job, please be my guest …",1187,8805,10/15/2022 0:49
"Big difference between peace comms vs warfront comms. Starlink is only comms system still working at warfront – others all dead. Russia is actively trying to kill Starlink. To safeguard, SpaceX has diverted massive resources towards defense.Even so, Starlink may still die.",921,6398,10/15/2022 0:12
